# columns: pulse_id,t_mid_s,esr_ohm,cap_F,E_J,P_peak_W,P_avg_W,i_col,source
47,1.151997600e-02,1.865491839e-02,1.101080618e-03,-1.650226677e+00,1.539773080e+03,-7.162457095e+01,i_A,per_pulse
48,1.151997600e-02,1.574019706e-02,9.442828237e-04,-1.622120932e+00,1.539463079e+03,-7.040470104e+01,i_A,per_pulse
49,1.151997600e-02,1.107889619e-02,6.650855556e-04,-1.378639515e+00,1.538533077e+03,-5.983690917e+01,i_A,per_pulse
50,1.151997600e-02,1.995666680e-02,9.550349713e-04,-1.373109233e+00,1.545663092e+03,-5.959687907e+01,i_A,per_pulse
51,1.151997600e-02,2.363222064e-02,9.042024194e-04,-1.399038475e+00,1.182032364e+03,-6.072228256e+01,i_A,per_pulse
52,1.151997600e-02,8.661261643e-03,6.288674535e-04,-1.521471451e+00,1.538843078e+03,-6.603622488e+01,i_A,per_pulse
53,1.151997600e-02,1.899588909e-02,9.079532635e-04,-1.655801642e+00,1.538533077e+03,-7.186654042e+01,i_A,per_pulse
54,1.151997600e-02,1.433966798e-02,7.381652402e-04,-1.763869350e+00,1.539463079e+03,-7.655698890e+01,i_A,per_pulse
55,1.151997600e-02,2.229277601e-02,9.712851505e-04,-1.530163130e+00,1.538223077e+03,-6.641346865e+01,i_A,per_pulse
56,1.151997600e-02,1.867566050e-02,8.721879388e-04,-1.064092374e+00,1.539773080e+03,-4.618466106e+01,i_A,per_pulse
57,1.151997600e-02,1.797163504e-02,7.915692515e-04,-1.224202733e+00,1.539463079e+03,-5.313390987e+01,i_A,per_pulse
58,1.151997600e-02,1.780380770e-02,7.695093160e-04,-8.256414074e-01,1.539463079e+03,-3.583520519e+01,i_A,per_pulse
59,1.151997600e-02,1.560465177e-02,7.024938297e-04,-1.433105532e+00,1.538843078e+03,-6.220089051e+01,i_A,per_pulse
60,1.151997600e-02,1.135056759e-02,6.540637399e-04,-1.748415609e+00,1.538533077e+03,-7.588625224e+01,i_A,per_pulse
61,1.151997600e-02,1.555807238e-02,7.460212290e-04,-1.246099863e+00,1.171569843e+03,-5.408430812e+01,i_A,per_pulse
1,1.151997600e-02,-4.365054808e-05,-3.727470436e-03,-5.919760332e-01,0.000000000e+00,-2.569345775e+01,i_A,per_pulse
2,1.151997600e-02,-5.242002542e-06,5.530197103e-03,-7.731696162e-01,0.000000000e+00,-3.355777895e+01,i_A,per_pulse
3,1.151997600e-02,2.307235635e-02,8.252016824e-04,-9.018025854e-01,1.539463079e+03,-3.914081876e+01,i_A,per_pulse
4,1.151997600e-02,-2.985309854e-05,-1.776786755e-03,-1.135569758e+00,0.000000000e+00,-4.928698452e+01,i_A,per_pulse
